EC number	KO
2.7.1.23	K00858
2.7.1.24	K00859
2.7.1.25	K00860
2.7.1.26	K00861
2.7.1.215	K00862
2.7.1.28	K00863
2.7.1.29	K00863
4.6.1.15	K00863
2.7.1.30	K00864
2.7.1.165	K00865
2.7.1.32	K00866
2.7.1.33	K00867
2.7.1.35	K00868
2.7.1.36	K00869
2.7.11.19	K00871
2.7.1.39	K00872
2.7.1.40	K00873
2.7.1.45	K00874
2.7.1.47	K00875
2.7.1.48	K00876
2.7.1.49	K00877
2.7.4.7	K00877
3.5.99.2	K00877
2.7.1.50	K00878
2.7.1.51	K00879
2.7.1.53	K00880
2.7.1.55	K00881
2.7.1.56	K00882
2.7.1.58	K00883
2.7.1.59	K00884
2.7.1.60	K00885
2.7.1.63	K00886
2.7.1.66	K00887
2.7.1.67	K00888
2.7.1.68	K00889
2.7.1.71	K00891
2.7.1.73	K00892
2.7.1.74	K00893
2.7.1.76	K00893
2.7.1.113	K00893
2.7.1.82	K00894
2.7.1.90	K00895
2.7.1.95	K00897
2.7.11.2	K00898
2.7.1.100	K00899
2.7.1.105	K00900
2.7.1.107	K00901
2.7.1.108	K00902
2.7.10.3	K00903
2.7.11.4	K00905
2.7.11.5	K00906
2.7.11.18	K00907
2.7.11.17	K00908
2.7.11.14	K00909
2.7.11.15	K00910
2.7.1.127	K00911
2.7.1.130	K00912
2.7.1.159	K00913
2.7.1.134	K00913
2.7.1.137	K00914
2.7.1.140	K00915
2.7.1.151	K00915
2.7.11.22	K00916
2.7.11.23	K00916
2.7.1.144	K00917
2.7.1.146	K00918
2.7.1.147	K00918
2.7.1.148	K00919
2.7.1.149	K00920
2.7.1.150	K00921
2.7.1.153	K00922
2.7.1.154	K00923
2.7.2.1	K00925
2.7.2.2	K00926
2.7.2.3	K00927
2.7.2.4	K00928
2.7.2.7	K00929
2.7.2.8	K00930
2.7.2.11	K00931
2.7.2.15	K00932
2.7.3.2	K00933
2.7.3.3	K00934
2.7.13.3	K00936
2.7.4.1	K00937
2.7.4.2	K00938
2.7.4.3	K00939
2.7.4.6	K00940
2.7.4.8	K00942
2.7.4.9	K00943
2.7.4.10	K00944
2.7.4.25	K00945
2.7.4.16	K00946
2.7.6.1	K00948
2.7.6.2	K00949
2.7.6.3	K00950
2.7.6.5	K00951
2.7.7.1	K00952
2.7.7.2	K00953
2.7.7.3	K00954
2.7.7.4	K00955
2.7.7.6	K00960
2.7.7.8	K00962
2.7.7.9	K00963
2.7.7.12	K00965
2.7.7.13	K00966
2.7.7.14	K00967
2.7.7.15	K00968
2.7.7.18	K00969
2.7.7.19	K00970
2.7.7.23	K00972
2.7.7.83	K00972
2.7.7.24	K00973
2.7.7.72	K00974
2.7.7.27	K00975
2.7.7.30	K00976
2.7.7.31	K00977
2.7.7.33	K00978
2.7.7.38	K00979
2.7.7.39	K00980
2.7.7.41	K00981
2.7.7.42	K00982
2.7.7.89	K00982
2.7.7.43	K00983
2.7.7.47	K00984
2.7.7.48	K00985
2.7.7.49	K00986
2.7.7.50	K00987
2.7.7.5	K00988
2.7.7.53	K00988
2.7.7.56	K00989
2.7.7.59	K00990
2.7.7.60	K00991
2.7.7.99	K00992
